epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,1.0405718006071756,67.06676669167292,1.2221589374098556,63.93110435663627,1003.4614691734314
2,0.7278386779797741,75.34383595898974,0.9345755556572402,72.13779128672746,1004.9476406574249
3,0.4987160541800587,83.20830207551889,0.8477717411192726,71.73252279635258,1006.6326253414154
4,0.44970885199171695,83.17079269817455,0.899505556412716,73.15096251266465,1010.0507409572601
5,0.38786278799879065,85.7214303575894,0.8534596703506243,74.26545086119553,1002.8877966403961
6,0.3476248921079127,87.38434608652163,0.9664619592154259,73.65754812563323,1002.3423042297363
7,0.2548766422304474,90.735183795949,0.8306925668591002,76.29179331306992,1002.2011060714722
8,0.32041283152194916,88.92223055763941,1.0586576857596943,72.64437689969606,1007.8566262722015
9,0.26628026376647107,89.85996499124781,1.0759066424873809,72.8470111448835,1010.9077146053314
10,0.2210837255982457,91.7604401100275,1.1748896317459858,74.0628166160081,1009.8590474128723
